"Variable","Coefficient","Dimension"
"soc_open_defec",-0.396759768473954,"Social"
"env_co2_gdp",0.313485641883008,"Environment"
"soc_life_expect",0.0924183762541206,"Social"
"soc_gpi_secondary",-0.0684556176651175,"Social"
"soc_health_exp",-0.0575461062193685,"Social"
"soc_pov_190",-0.0526862223014743,"Social"
"gov_rd_expend",-0.0254266098023043,"Governance"
"soc_unempl_gen",-0.0227643815553848,"Social"
"soc_unempl_y_ilo",-0.022410661734443,"Social"
"soc_edu_sec_dur",-0.0185294992648972,"Social"
"gov_real_gdp_gr",0.0181064531005451,"Governance"
"soc_unempl_ilo",-0.0178304451616695,"Social"
"soc_gini_index",0.0161704891464623,"Social"
"soc_mort_general",-0.014155693943708,"Social"
"soc_mort_road",-0.0132784082761665,"Social"
"soc_unempl_nat",-0.0122708176517844,"Social"
"env_co2_capita",0.0104808722529366,"Environment"
"soc_sanit_basic",0.0103888140928798,"Social"
"soc_sanit_safe_rur",0.0100002998717881,"Social"
"soc_edu_pre_dur",-0.00949574905142242,"Social"
"gov_rule_law",0.00905931642752121,"Governance"
"soc_sanit_safe_urb",-0.00791351905514057,"Social"
"soc_mort_maternal",-0.00775445868707489,"Social"
"soc_water_basic",0.0074508786057459,"Social"
"soc_pov_national",0.00705405133357737,"Social"
"soc_water_safe",0.00602086741694333,"Social"
"env_pm25_exp",-0.00491635576267427,"Environment"
"gov_gdp_growth",-0.00446267310819768,"Governance"
"gov_corruption",-0.00413427491195939,"Governance"
"soc_youth_idle",-0.00410829553870695,"Social"
"gov_cpi_aop",0.00389157528474932,"Governance"
"gov_pol_stability",-0.00342779938503652,"Governance"
"env_renew_cons",-0.00298617196545589,"Environment"
"env_nd_gain_idx",0.00237387776054508,"Environment"
"gov_inflation",0.00222227811425825,"Governance"
"gov_terms_trade",-0.00195800434579908,"Governance"
"gov_voice_acc",-0.0019122084029703,"Governance"
"soc_women_parl",-0.00186081502382842,"Social"
"soc_immun_dpt",0.00175551119666026,"Social"
"soc_sanit_improved",0.00151536920474036,"Social"
"soc_edu_compul_yrs",-0.0015105989596428,"Social"
"gov_reer",-0.00140979142851747,"Governance"
"gov_export_price",0.00133893692476757,"Governance"
"gov_effectiveness",0.00117463720756344,"Governance"
"soc_immun_hepb",0.00110432476553358,"Social"
"soc_age_dependency",0.000925863320006856,"Social"
"soc_immun_measles",-0.000192142726520835,"Social"
"soc_unempl_y_nat",-2.88283190832158e-05,"Social"
"gov_reg_quality",1.08812684416444e-05,"Governance"
"gov_gdp_capita",-5.0572695961615e-06,"Governance"
"gov_gdp_ppp_curr",-9.45144212104204e-07,"Governance"
"soc_net_migration",6.83858585063681e-08,"Social"
