"Variable","IncMSE","Rank","Dimension"
"env_co2_pba",23.1361691268748,1,"Environment"
"env_co2_cba",20.9759459393873,2,"Environment"
"soc_net_migration",13.7423675530189,3,"Social"
"soc_pov_national",11.121822215794,4,"Social"
"soc_mort_maternal",10.8792511326769,5,"Social"
"gov_rd_expend",10.7153176689156,6,"Governance"
"soc_sanit_safe_urb",10.6256041960949,7,"Social"
"soc_mort_general",10.5138773161245,8,"Social"
"soc_sanit_improved",10.4555574159546,9,"Social"
"soc_sanit_basic",10.1417225085437,10,"Social"
"gov_gdp_const",9.72247213300731,11,"Governance"
"soc_age_dependency",9.69376590199284,12,"Social"
"soc_health_exp",9.55068610502656,13,"Social"
"gov_rule_law",9.49147934728216,14,"Governance"
"soc_suicide_rate",9.28752268161178,15,"Social"
"soc_gini_index",9.25472492308351,16,"Social"
"soc_sanit_safe_rur",9.18503756631194,17,"Social"
"gov_corruption",9.09630104511594,18,"Governance"
"soc_female_mgrs",9.06830074602863,19,"Social"
"gov_effectiveness",8.9914543966181,20,"Governance"
"gov_cpi_aop",8.78077150446648,21,"Governance"
"soc_water_safe",8.77249570530946,22,"Social"
"gov_gdp_ppp_const",8.71250526522845,23,"Governance"
"soc_mort_poison",8.62854774043757,24,"Social"
"soc_gpi_secondary",8.53677275733797,25,"Social"
"soc_gpi_pri_sec",8.50952218716333,26,"Social"
"soc_life_expect",8.32011688116176,27,"Social"
"env_co2_capita",8.260113723252,28,"Environment"
"soc_immun_dpt",8.15057546631692,29,"Social"
"gov_account_bal",8.14898943988637,30,"Governance"
"soc_mort_road",8.09893121531863,31,"Social"
"soc_edu_low_sec",8.09371412143629,32,"Social"
"soc_water_basic",7.85993502928561,33,"Social"
"gov_pol_stability",7.83911697089012,34,"Governance"
"soc_youth_idle",7.74104876307377,35,"Social"
"env_renew_cons",7.69285553504698,36,"Environment"
"gov_voice_acc",7.5286713272471,37,"Governance"
"gov_gdp_capita",7.47901116546682,38,"Governance"
"gov_reg_quality",7.40506209111644,39,"Governance"
"soc_edu_pri_dur",7.21594119319929,40,"Social"
"gov_cpi_eop",7.14918640245981,41,"Governance"
"env_nd_gain_idx",7.05909243887468,42,"Environment"
"env_co2_gdp",7.04097139966884,43,"Environment"
"env_renew_elec",6.95348268233002,44,"Environment"
"soc_women_parl",6.92564580036088,45,"Social"
"soc_mort_neonatal",6.91565269385155,46,"Social"
"soc_edu_pre_dur",6.91344353613125,47,"Social"
"soc_edu_compul_yrs",6.65093471046703,48,"Social"
"soc_edu_sec_dur",6.62691219061762,49,"Social"
"soc_mort_u5_fem",6.51418006331302,50,"Social"
"gov_terms_trade",6.50794560286365,51,"Governance"
"soc_internet_users",6.34499715026689,52,"Social"
"soc_immun_hepb",6.29735395239931,53,"Social"
"soc_unempl_y_ilo",6.28690160019189,54,"Social"
"soc_pov_190",6.22335550265268,55,"Social"
"gov_researchers",6.17431342463499,56,"Governance"
"soc_mort_u5_tot",6.04588337396594,57,"Social"
"soc_mort_infant",6.00427900488117,58,"Social"
"soc_immun_measles",5.96028440914273,59,"Social"
"env_pm25_exp",5.85398786471955,60,"Environment"
"soc_mort_u5_male",5.61681744313148,61,"Social"
"soc_gpi_primary",5.34377049165032,62,"Social"
"gov_gdp_ppp_curr",5.33955331763965,63,"Governance"
"soc_unempl_gen",5.13326742892336,64,"Social"
"gov_reer",4.90867347240725,65,"Governance"
"soc_unempl_y_nat",4.7946340675772,66,"Social"
"soc_unempl_ilo",4.40518683401912,67,"Social"
"soc_unempl_nat",4.26163941594176,68,"Social"
"soc_broadband",4.03655538799471,69,"Social"
"gov_export_price",3.91702724711422,70,"Governance"
"gov_gdp_growth",3.47107193795007,71,"Governance"
"gov_real_gdp_gr",2.87267247881032,72,"Governance"
"soc_open_defec",1.6869232048896,73,"Social"
"gov_inflation",-0.520917149627965,74,"Governance"
