Country,Year,soc_age_dependency,env_co2_cba,env_co2_gdp,env_co2_capita,env_co2_pba,soc_edu_compul_yrs,gov_cpi_aop,gov_cpi_eop,gov_inflation,gov_corruption,gov_account_bal,gov_export_price,soc_female_mgrs,soc_broadband,gov_gdp_capita,gov_gdp_const,gov_gdp_growth,gov_gdp_ppp_const,gov_gdp_ppp_curr,soc_gini_index,gov_effectiveness,soc_immun_dpt,soc_immun_hepb,soc_immun_measles,soc_mort_infant,soc_internet_users,soc_life_expect,soc_edu_low_sec,soc_mort_maternal,soc_mort_general,soc_mort_road,soc_mort_poison,soc_mort_u5_tot,soc_mort_u5_fem,soc_mort_u5_male,env_nd_gain_idx,soc_mort_neonatal,soc_net_migration,soc_open_defec,soc_water_basic,soc_sanit_basic,soc_water_safe,soc_sanit_safe_rur,soc_sanit_safe_urb,env_pm25_exp,gov_pol_stability,soc_pov_190,soc_pov_national,soc_edu_pre_dur,soc_edu_pri_dur,soc_sanit_improved,soc_women_parl,soc_health_exp,gov_real_gdp_gr,gov_reg_quality,env_renew_elec,env_renew_cons,gov_rd_expend,gov_researchers,gov_rule_law,soc_gpi_primary,soc_gpi_pri_sec,soc_gpi_secondary,soc_edu_sec_dur,soc_youth_idle,soc_suicide_rate,gov_terms_trade,soc_unempl_gen,soc_unempl_ilo,soc_unempl_nat,soc_unempl_y_ilo,soc_unempl_y_nat,gov_voice_acc,gov_esg_score,tour_arrivals,tour_nights,tour_avg_stay,population,tour_night_pop,tour_arrival_pop,area_km2,tour_arr_density,tour_night_density,gov_reer,log_arrivals,arrivals_per_capita,arrivals_per_km2
Austria,2000,48.1072,115466.6,0.1553,8.3243,79800,9,91.155,91.625,4.967,92.5532,-1393000000,44.2245,28.131,2.3774,24498.114,38571.0859,2.9417,53599.6092,29214.7386,29,94.5355,82.47,33,75,4.5,33.7,78.1268,101.3309,7,90.0745,12.5,0.18,5.5,4.9,6,65.8572,3.1,17631,0,100,99.992054,96.7192,99.2627,99.986396,19.1506,76.1905,0,13.2,6,4,99.68536700000001,26.776,6.8258,3.19,92.9348,73.1628,26.4,1.886,2992.2209,98.0099,0.9897,0.9697,0.9594,8,7.925,19.75,113.6098,89.4385,4.687,4.687,6.285,6.302,90.0498,17.7,22649293,90710626,4.005009162979171,8011566,11.322458805182407,2.8270743822119173,83878,270.02662199861703,1081.4590953527743,100.03885,16.935639239429598,2827.0743822119175,270.02662199861703
Austria,2001,47.6679,117636.4,0.1641,8.8751,83800,9,93.253,93.242,3.979,93.102,-1573000000,46.3248,29.377,3.9865,24430.662,38929.7538,0.9299,54098.0256,29556.4036,29.166666666666668,94.83529999999999,84,44,79,4.5,39.2,78.5756,101.3309,6,90.2192,12.2,0.16,5.4,4.8,5.9,66.2867,3.1,39866,0,100,99.992054,96.8905,99.2627,99.986396,18.9471,85.44975,0.09999999999999999,13.2,6,4,99.68536700000001,26.776,6.8265,1.317,92.9539,69.84,25.5,1.9921,2992.2209,97.76115,0.9897,0.9696,0.9592,8,8.088,18.51,112.2647,90.5416,4.007,4.007,6.001,6.02694,90.79605000000001,16.69,23138868,92137558,3.981938874451421,8042293,11.45662785476729,2.877148096942004,83878,275.8633729941105,1098.4710889625408,99.56302,16.95702440213082,2877.1480969420036,275.8633729941105
Austria,2002,47.2189,118022.5,0.1658,9.0592,85600,9,94.821,94.811,4.114,93.6508,4504000000,51.5117,30.776,5.5806,26315.717,39313.7226,0.9863,54631.6009,30952.1708,29.333333333333332,95.1351,83,81,78,4.4,36.6,78.678,101.3309,6,90.3781,12.1,0.2,5.3,4.8,5.8,66.5868,3,37508,0,100,99.992054,97.0618,99.2627,99.986396,18.7785,94.709,0.19999999999999998,13.2,6,4,99.68536700000001,30.3279,6.8993,1.484,92.973,69.9014,24.7,2.066,2992.2209,97.5124,0.9903,0.9644,0.9515,8,6.093,19.41,112.4281,88.5735,4.852,4.852,7.137,7.159,91.5423,9.75,23562277,93770689,3.979695553192928,8081957,11.602473138622242,2.915417268367055,83878,280.91128782279026,1117.941402990057,98.7322,16.975157601377454,2915.417268367055,280.91128782279026
Austria,2003,46.8524,127257,0.175,9.6246,91100,9,96.055,96.078,3.578,94.709,4059999999.9999995,63.6071,28.498,7.3991,32114.633,39569.2886,0.6501,54986.7436,31962.9255,29.5,97.2973,84,83,79,4.3,42.7,78.6317,102.2359,6,90.4511,11.7,0.19,5.2,4.7,5.7,66.4465,3,44362,0,100,99.992054,97.233,99.2627,99.986396,18.6169,80.402,0.3,13,6,4,99.68536700000001,33.8798,6.9827,1.142,91.8919,62.137,22.6,2.1746,3089.5874,96.5174,0.9942,0.9634,0.9485,8,7.252,17.99,111.2572,88.4393,4.779,4.779,7.429,7.454,91.5423,15.4,24333718,95239650,3.9138963474467814,8121423,11.72696582852537,2.996238220814259,83878,290.10846705930044,1135.4544695867808,98.66398,17.007373559634026,2996.238220814259,290.10846705930044
Austria,2004,46.9769,130786.9,0.1738,9.7412,90800,9,97.941,98.492,4.073,97.0443,6255000000,77.5073,23.024,10.6442,36608.939,40333.3307,1.9309,56048.4807,33523.0205,29.8,93.0348,83,83,74,4.2,54.3,79.1805,102.33266666666667,6,90.6561,11,0.14,5.1,4.5,5.5,66.7651,2.9,55007,0,100,99.992054,97.4043,99.2627,99.986396,18.4343,84.9515,0.1,12.6,6,4,99.68536700000001,33.8798,6.9961,2.565,91.5423,65.4324,23.2,2.1661,3186.9539,96.1538,1.0015,0.963,0.9449,8,9.639,17.38,109.8231,83.4953,5.969,5.969,10.991,10.997,92.7885,13.32,24765560,95258076,3.84639297476011,8171966,11.656690201598979,3.030551032640126,83878,295.25692076587427,1135.6741457831613,98.42558,17.024964576685516,3030.5510326401263,295.25692076587427
Austria,2005,47.5504,131126.2,0.1716,9.7729,92000,9,100,100,3.875,95.1219,7143000000,81.9639,21.504,14.2663,38190.312,40989.0132,1.6257,56959.638,34776.67,28.7,92.6471,86,86,75,4.1,58,79.3317,102.42943333333334,6,92.7264,9.6,0.16,4.9,4.4,5.4,67.2262,2.8,50676,0,100,99.992054,97.5755,99.2627,99.986396,18.2028,86.4078,0.2,12.6,6,4,99.68536700000001,33.8798,6.9942,2.32,95.098,64.6807,24.4,2.3732,3470.7263,97.6077,0.9985,0.9663,0.9516,8,11.842,17.22,107.8835,84.6158,5.682,5.682,11.178,11.183,90.3846,14.76,25555868,97030589,3.7968027147424617,8227829,11.792975887077867,3.1060280907636755,83878,304.6790338348554,1156.806182789289,97.69291,17.056377554693423,3106.0280907636757,304.6790338348554
Austria,2006,48.0319,131221,0.1617,9.4656,89100,9,101.686,101.629,3.779,94.6341,11080000000,89.5389,20.956,17.3158,40387.725,42120.1558,2.7596,58531.5098,37396.0351,29.6,96.0976,83,83,80,4,63.6,79.8805,102.5262,6,92.9408,9.1,0.33,4.8,4.3,5.2,68.7299,2.8,25787,0,100,99.992054,97.7468,99.2627,99.986396,17.8025,86.4734,0.1,12,6,4,99.68536700000001,32.2404,6.9434,3.269,96.0784,66.5651,26.6,2.3592,3536.8228,98.5646,0.9917,0.9699,0.9601,8,11.22,16.28,106.5497,86.0467,5.32,5.32,10.046,10.051,93.75,17.17,26508469,98129546,3.7018186904720904,8268641,11.867675232241913,3.2059039689835367,83878,316.0360165955316,1169.9080330956865,97.04626,17.092974862529527,3205.9039689835367,316.0360165955316
Austria,2007,48.2158,130576.9,0.1502,9.0939,86300,9,103.923,105.153,5.195,96.1165,14800000000,107.1317,20.997,19.5493,46630.129,43568.8303,3.4394,60544.634,39193.8174,30.6,96.6019,85,85,79,3.9,69.4,80.1805,102.7783,6,93.0594,8.6,0.36,4.6,4.2,5.1,69.3695,2.7,24616,0,100,99.9911,97.9181,99.2627,99.9847,17.2316,96.1353,0.4,15.2,6,4,99.6833,32.7869,6.9393,3.775,96.1165,69.6375,29,2.4184,3823.6313,99.5215,0.9877,0.9688,0.9605,8,10.707,15.98,107.1542,86.8328,4.909,4.909,9.596,9.601,94.7115,15.24,27563291,100664352,3.6521165778063294,8295487,12.13483331358364,3.3226850937142087,83878,328.61168602017216,1200.1281861751593,96.39653,17.131995445452382,3322.6850937142085,328.61168602017216
Austria,2008,48.2132,130809,0.1477,9.0413,86100,9,107.28,106.697,4.581,93.6893,19397000000,118.7003,25.193,20.7731,51575.468,44063.8642,1.1362,61232.5489,41046.79,30.4,94.6602,83,83,83,3.8,72.9,80.4317,102.9957,6,93.0932,8.4,0.21,4.5,4.1,5,69.2109,2.6,25405,0,100,99.9893,98.0893,99.2627,99.9816,16.6393,98.5577,0.5,14.5,6,4,99.6794,27.3224,7.1763,1.453,94.1748,70.1078,29.7,2.5694,4152.7549,98.5577,0.9834,0.9656,0.9579,8,10.366,15.72,104.2503,88.4828,4.198,4.198,8.72,8.725,94.2308,15.3,28833247,104709683,3.631560573112005,8321496,12.583035910850645,3.464911477455496,83878,343.75219962326236,1248.356935072367,95.6433,17.177039723692047,3464.911477455496,343.75219962326236
Austria,2009,48.254,121247.4,0.1385,8.157,79400,9,107.715,107.819,3.16,92.823,10420000000,89.6942,23.252,22.5106,47816.021,42372.4758,-3.8385,58882.1417,40665.5047,31.5,93.7799,83,83,76,3.7,73.5,80.3317,102.4618,6,93.1182,7.8,0.21,4.4,4,4.9,68.3629,2.6,18222,0,100,99.9876,98.2606,99.2627,99.9785,16.1746,90.9953,0.7,14.7,6,4,99.6756,27.8689,7.4492,-3.586,92.3445,72.3,31.3,2.5967,4157.9302,96.2085,0.9889,0.9652,0.9551,8,11.726,15.84,106.1967,85.2945,5.371,5.371,10.896,10.903,94.7867,18.77,28566589,102833458,3.5997807788672285,8343323,12.325239955351122,3.4238862621044395,83878,340.57308233386584,1225.9884355850163,97.00593,17.167748411115667,3423.8862621044395,340.57308233386584
Austria,2010,48.1046,126027.4,0.1475,8.8237,84200,9,109.537,110.173,4.151,91.9048,11207000000,99.8895,25.422,24.5114,46662.235,43035.4075,1.5645,59803.3727,41740.1149,30.3,97.1292,86,86,80,3.6,75.2,80.5805,100.8644,6,93.7748,6.8,0.29,4.3,3.9,4.7,68.7964,2.5,22570,0,100,99.9858,98.4318,99.2627,99.9753,15.9866,89.0995,0.5,14.5,6,4,99.6718,27.8689,7.3996,1.809,92.3445,67.7558,31.1,2.7261,4379.1821,96.6825,0.9871,0.9687,0.9607,8,10.788,16.05,103.5135,86.8393,4.883,4.883,9.673,9.68,95.2607,18.34,29700112,103942335,3.4997287215617234,8363404,12.4282331691737,3.5511990093985655,83878,354.0870311643101,1239.208552898257,96.34153,17.206661408479494,3551.1990093985655,354.0870311643101
Austria,2011,47.8895,125332.6,0.1402,8.6032,81800,10,113.417,113.913,4.669,89.5735,7038000000,116.172,26.074,24.9926,51126.851,44146.1958,2.5811,61346.9594,44171.5619,30.8,92.891,89,89,84,3.5,78.7,80.9829,101.9843,6,93.9146,6.4,0.2,4.2,3.8,4.6,68.7689,2.4,31887,0,100,99.9841,98.6031,99.2627,99.9722,16.3676,91.4692,0.4,14.4,6,4,99.6679,27.8689,7.2879,2.927,90.5213,67.5416,31.6,2.6687,4430.5356,96.7136,0.9905,0.9701,0.961,8,10.559,16.26,100.3036,87.5837,4.637,4.637,9.173,9.179,94.8357,19.69,30906198,105339662,3.4083668913271055,8391643,12.552924617980056,3.6829734058038457,83878,368.4660816900737,1255.8675934094756,97.05992,17.24646733663423,3682.9734058038457,368.4660816900737
Austria,2012,48.0162,122753.1,0.1332,8.1883,79300,10,116.33,117.232,3.842,89.5735,6074000000,109.0898,27.132,25.2645,48302.044,44221.46,0.1705,61451.549,46156.4832,30.5,92.891,92,92,88,3.4,80,80.9366,100.1577,6,93.9429,6.4,0.22,4,3.6,4.4,69.2193,2.4,45014,0,100,99.9823,98.7744,99.2627,99.969,14.7199,96.2085,0.6,14.4,6,4,99.6664,27.8689,7.4325,0.628,91.4692,76.0603,34.4,2.9147,4720.811,97.6526,0.9917,0.9716,0.9624,8,10.158,16.17,98.8991,86.8414,4.909,4.909,9.561,9.568,95.3052,19.34,32325646,109540720,3.3886629829454917,8429991,12.994168083927967,3.8346002979125364,83878,385.3888504733065,1305.9529316388086,97.23077,17.29137149788979,3834.6002979125365,385.3888504733065
Austria,2013,48.3092,122119.7,0.1347,8.2092,79500,10,118.794,119.561,3.191,90.5213,7459000000,114.6786,26.329,26.3223,50321.474,43851.3675,-0.8369,60937.2568,47519.8523,30.8,92.891,95,95,92,3.3,80.6,81.1366,100.0143,6,93.8884,5.5,0.17,3.9,3.5,4.3,69.8938,2.4,56726,0,100,99.9805,98.9126,99.2627,99.9659,14.6599,96.2085,0.3,14.1,6,4,99.6659,33.3333,7.4231,-0.251,91.4692,79.3682,34.6,2.9549,4782.124,97.6526,0.989,0.973,0.9656,8,10.341,16.09,99.3175,86.0163,5.367,5.367,9.767,9.774,95.7747,19.23,32940265,110687373,3.360245371432197,8479823,13.053028701188692,3.8845462930063515,83878,392.7163857030449,1319.623417344238,98.02496,17.310206357969566,3884.5462930063513,392.7163857030449
